"Finished","ID","BioAssassin_1_1","BioAssassin_2_1","BioAssassin_3_1","BiowarNumCountry_1_1","BiowarNumCountry_2_1","BiowarNumCountry_3_1","QuALITY_1_1","QuALITY_2_1","QuALITY_3_1","FutureWorries","NonStateBio100k_1_1","NonStateBio100k_2_1","NonStateBio100k_3_1","GenAttitudes","GPT","ComputeCost_1_1","ComputeCost_2_1","ComputeCost_3_1","ComputeCostgraphic_1_1","ComputeCostgraphic_2_1","ComputeCostgraphic_3_1","HumanExtReasonsSum_1_1","HumanExtReasonsSum_2_1","HumanExtReasonsSum_3_1","HumanExtReasonsSum_4_1","HumanExtReasonsSum_5_1","HumanExtReasonsSum_6_1","HumanExtReasonsSum_7_1","HumanExtReasons_corr_1_1","HumanExtReasons_corr_2_1","HumanExtReasons_corr_3_1","HumanExtReasons_corr_4_1","HumanExtReasons_corr_5_1","HumanExtReasons_corr_6_1","HumanExtReasons_corr_7_1","HumanExtReasonsSum_7_TEXT","HumanExtReasons_corr_7_TEXT","HumanExtReasonsSum"
"True","PzdvCnLVur5",0,0,1,2,2,5,NA,NA,NA,1e+210,0,0,2,2023,30,NA,NA,NA,5.2e+07,6e+07,7e+07,10,20,2,5,1,10,15,15,25,2,5,5,20,28,"Natural disaster from earth or space","Natural disaster from earth or space","63"
"True","Pzvnj39pW56",1,1,2,10,13,28,NA,NA,NA,2100,0,2,14,2100,48,5e+07,1.2e+08,3e+08,NA,NA,NA,15,15,12,18,1,39,0,NA,NA,NA,NA,NA,NA,NA,"a","","100"
"True","PNMkqJmNyVy",1,2,4,6,16,19,NA,NA,NA,2070,4,17,29,2050,13,NA,NA,NA,1.23e+08,3.45e+08,6e+09,2,7,4,1,0,1,7,2,85,4,1,0,1,7,"Natural disasters ","Natural disasters ","22"
"True","PW6MZDSGgUt",0,0,0,4,5,8,60,75,85,2040,0,0,0,2100,NA,NA,NA,NA,4.6e+07,6e+07,7.5e+07,1,1,1,1,0,0,0,25,25,25,25,0,0,0,"","","4"
"True","PrkDZuA2BNZ",33,33,33,1,5,10,20,40,60,65,NA,NA,NA,2025,10,NA,NA,NA,100,200,500,10,15,20,20,25,0,0,10,15,20,20,25,10,0,"","","90"
"True","PhYQIb4XzOA",NA,NA,NA,4,6,10,69,77,88,2024,0,1,3,2047,70,1e+07,5e+09,2e+09,NA,NA,NA,20,5,1,10,1,0,0,20,5,15,40,20,0,0,"0","0","37"
"True","PuMtzFMNjku",3,7,20,1,3,1,71,85,90,2025,NA,NA,NA,2028,50,1e+10,2e+11,2e+10,NA,NA,NA,15,10,0,50,0,25,0,NA,NA,NA,NA,NA,NA,NA,"not applicable","","100"
"True","PM7YCHjaQ6z",0,0,1,8,8,9,61,73,94,2030,NA,NA,NA,2029,40,NA,NA,NA,12,25,35,2,10,1,35,0,0,0,5,20,5,40,0,30,0,"","","48"
"True","PgMRRE5btZ4",NA,NA,NA,193,200,210,61,69,88,2088,0,2,45,2073,50,2e+10,2.5e+10,3.5e+10,NA,NA,NA,20,5,5,65,0,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Po5CxPV0lMx",0,0,1,NA,NA,NA,55,70,85,2050,0,0,0,2050,50,1e+08,5e+08,2e+08,NA,NA,NA,10,25,2,2,1,60,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
