setName,questionType,year1,year2,year3,country1,country2,country3,country4,country5,country6,country7,country8,country9,country10,country11,country12,yourBeliefs,expertBeliefs,superBeliefs,title,subtitle,stage,specialty,defaultForecast5,defaultForecast25,defaultForecast50,defaultForecast75,defaultForecast95,expectedRisk,forecastMin,forecastMax,numerateCitizens,yLabels
1. Genetically Engineered Pathogen Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Genetically Engineered Pathogen Risk,"(Cause of death, within a 5-year period, for more than 1% of humans alive at the beginning of the period)",1,Biorisk,,,50,,,low,0,100,FALSE,Probability
2. Non-Genetically Engineered Pathogen Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Non-Genetically Engineered Pathogen Risk,"(Cause of death, within a 5-year period, for more than 1% of humans alive at the beginning of the period)",1,Biorisk,,,50,,,low,0,100,FALSE,Probability
3. AI Catastrophic Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),AI Catastrophic Risk,"(Cause of death, within a 5-year period, for more than 1% of humans alive at the beginning of the period)",1,AI,,,50,,,low,0,100,TRUE,Probability
4. AI Extinction Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),AI Extinction Risk,"(Human extinction or reduction of the population below 5,000)",1,AI,,,50,,,low,0,100,TRUE,Probability
5. Nuclear Catastrophic Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Nuclear Catastrophic Risk,"(Cause of death, within a 5-year period, for more than 1% of humans alive at the beginning of the period)",1,Nuclear,,,50,,,low,0,100,TRUE,Probability
6. Nuclear Extinction Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Nuclear Extinction Risk,"(Human extinction or reduction of the population below 5,000)",1,Nuclear,,,50,,,low,0,100,TRUE,Probability
7. Non-Anthropogenic Catastrophic Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Non-Anthropogenic Catastrophic Risk,"(Cause of death, within a 5-year period, for more than 1% of humans alive at the beginning of the period)",1,,,,50,,,low,0,100,TRUE,Probability
8. Non-Anthropogenic Extinction Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Non-Anthropogenic Extinction Risk,"(Human extinction or reduction of the population below 5,000)",1,,,,50,,,low,0,100,TRUE,Probability
9. Total Catastrophic Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Total Catastrophic Risk,"(Cause of death, within a 5-year period, for more than 1% of humans alive at the beginning of the period)",1,,,,50,,,low,0,100,TRUE,Probability
10. Total Extinction Risk,multiYearReciprocal,2030,2050,2100,,,,,,,,,,,,,(Your Beliefs),(Other Experts' Beliefs),(Other Superforecasters' Beliefs),Total Extinction Risk,"(Human extinction or reduction of the population below 5,000)",1,,,,50,,,low,0,100,TRUE,Probability
11. Year of Extinction,pointDistrib,,,,,,,,,,,,,,,,,,,Year of Extinction,,1,,2045,2053,2061,2069,2077,normal,2021,1000000,TRUE,Year
12. Future Human Births,pointDistrib,,,,,,,,,,,,,,,,,,,Future Human Births,,1,,30,40,50,60,70,,,,TRUE,Number of Future Humans
13. Non-Coronavirus mRNA Vaccine,multiYearDistrib,2024,2030,,,,,,,,,,,,,,,,,Non-Coronavirus mRNA Vaccine,,1,Biorisk,30,40,50,60,70,,,,FALSE,Number of Vaccinated People
14. Novel Infectious Disease Surveillance System,multiYearBinary,2024,2030,,,,,,,,,,,,,,,,,Novel Infectious Disease Surveillance System,,1,Biorisk,,,50,,,,,,FALSE,Probability
15. Non-State Actor Bioweapon 1k Deaths,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,Non-State Actor Bioweapon 1k Deaths,,1,Biorisk,30,40,50,60,70,,,,TRUE,Number of Events
16. State Actor Bioweapon 1k Deaths,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,State Actor Bioweapon 1k Deaths,,1,Biorisk,30,40,50,60,70,,,,TRUE,Number of Events
17. Non-State Actor Bioweapon 100k Deaths,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,Non-State Actor Bioweapon 100k Deaths,,1,Biorisk,30,40,50,60,70,,,,FALSE,Number of Events
18. State Actor Bioweapon 100k Deaths,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,State Actor Bioweapon 100k Deaths,,1,Biorisk,30,40,50,60,70,,,,FALSE,Number of Events
19. Lab Leaks,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,Lab Leaks,,1,Biorisk,30,40,50,60,70,,,,TRUE,Number of Events
20. Individual Countries with Biological Weapons Programs,multiYearCountryDistrib,2024,2030,2050,U.S.,Russia,China,North Korea,Israel,Iran,Syria,,,,,,,,,Individual Countries with Biological Weapons Programs,,1,Biorisk,,,50,,,,,,FALSE,Number of Biosecurity Experts
21. Number of Countries with Biological Weapons Programs,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,Number of Countries with Biological Weapons Programs,,1,Biorisk,30,40,50,60,70,,,,FALSE,Number of Countries
22. PHEIC Declarations with 10k Deaths,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,PHEIC Declarations with 10k Deaths,,1,Biorisk,30,40,50,60,70,,,,FALSE,Number of Events
23. Assassinations with Biological Weapons,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,Assassinations with Biological Weapons,,1,Biorisk,30,40,50,60,70,,,,FALSE,Number of Events
24. Malaria Deaths,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,Malaria Deaths,,1,Biorisk,30,40,50,60,70,,,,FALSE,Number of Deaths
25. Average Global Surface Temperature,multiYearDistrib,2030,2050,2100,,,,,,,,,,,,,,,,Average Global Surface Temperature,,1,Climate,-40,-20,0,20,40,,,,FALSE,Degrees Celsius
26. Cost of Utility-Scale Solar Energy,multiYearDistrib,2024,2030,,,,,,,,,,,,,,,,,Cost of Utility-Scale Solar Energy,,1,Climate,30,40,50,60,70,,,,FALSE,Cost in 2017 USD
27. Nuclear Fusion Energy,pointDistrib,,,,,,,,,,,,,,,,,,,Nuclear Fusion Energy,,1,Climate,2045,2053,2061,2069,2077,,,,TRUE,Year
28. Solar and Wind Energy,multiYearDistrib,2024,2030,,,,,,,,,,,,,,,,,Solar and Wind Energy,,1,Climate,30,40,50,60,70,,,,FALSE,Percentage
29. Annual Direct Air CO2 Capture,multiYearDistrib,2024,2030,,,,,,,,,,,,,,,,,Annual Direct Air CO2 Capture,,1,Climate,30,40,50,60,70,,,,FALSE,Mt of CO2 Captured
30. Cost of Hydrogen,multiYearDistrib,2024,2030,,,,,,,,,,,,,,,,,Cost of Hydrogen,,1,Climate,30,40,50,60,70,,,,FALSE,$ per kg Hydrogen
31. Nuclear Weapon Use,multiYearBinary,2024,2030,,,,,,,,,,,,,,,,,Nuclear Weapon Use,,1,Nuclear,,,50,,,,,,TRUE,Probability
32. Total Nuclear Warheads,multiYearDistrib,2024,2030,2040,,,,,,,,,,,,,,,,Total Nuclear Warheads,,1,Nuclear,30,40,50,60,70,,,,FALSE,Number of Warheads
33. Countries with Nuclear Warheads,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,Countries with Nuclear Warheads,,1,Nuclear,30,40,50,60,70,,,,TRUE,Number of Countries
34. Country-by-Country Nuclear Use,multiCountryBinary,,,,China,France,India,Israel,North Korea,Pakistan,Russia,The United Kingdom,The United States,Other actor (state),Other actor (non-state),This will not occur,,,,Country-by-Country Nuclear Use,,1,Nuclear,,,8,,,,,,FALSE,Probability
35. GPT Revenue,pointBinary,,,,,,,,,,,,,,,,,,,GPT Revenue,,1,AI,,,50,,,,,,FALSE,Probability
36. US GDP From Software,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,US GDP From Software,,1,AI,30,40,50,60,70,,,,TRUE,Percentage of U.S. GDP
37. US Computer R&D Spending,multiYearDistrib,2024,2030,2050,,,,,,,,,,,,,,,,US Computer R&D Spending,,1,AI,30,40,50,60,70,,,,FALSE,USD Spent
